match,crossed,b_cost,v_cost,set,rank
0,not,12,12,baseline,0
1,with_equal_cost,14,14,baseline,2
2,with_equal_cost,14,14,baseline,3
3,with_equal_cost,15,15,baseline,6
4,with_equal_cost,15,15,baseline,7
5,with_equal_cost,15,15,baseline,8
6,with_equal_cost,15,15,baseline,9
7,with_equal_cost,16,16,baseline,10
8,with_equal_cost,16,16,baseline,11
9,with_equal_cost,16,16,baseline,12
10,with_equal_cost,16,16,baseline,13
11,with_different_cost,16,15,baseline,14
0,not,12,12,verde,0
1,with_equal_cost,14,14,verde,2
2,with_equal_cost,14,14,verde,1
3,with_equal_cost,15,15,verde,6
4,with_equal_cost,15,15,verde,5
5,with_equal_cost,15,15,verde,7
6,with_equal_cost,15,15,verde,4
7,with_equal_cost,16,16,verde,10
8,with_equal_cost,16,16,verde,9
9,with_equal_cost,16,16,verde,13
10,with_equal_cost,16,16,verde,12
11,with_different_cost,16,15,verde,3
