set_rank,set,rank,violation,num,weight,cost_contrib
baseline_0,baseline,0,c_c_point,1,0,0
baseline_0,baseline,0,continuous_x,1,0,0
baseline_0,baseline,0,continuous_y,1,0,0
baseline_0,baseline,0,encoding,2,0,0
baseline_0,baseline,0,encoding_field,2,6,12
baseline_0,baseline,0,type_q,2,0,0
baseline_1,baseline,1,c_c_point,1,0,0
baseline_1,baseline,1,continuous_x,1,0,0
baseline_1,baseline,1,continuous_y,1,0,0
baseline_1,baseline,1,encoding,2,0,0
baseline_1,baseline,1,encoding_field,2,6,12
baseline_1,baseline,1,type_q,2,0,0
baseline_1,baseline,1,x_y_fields_order,1,1,1
baseline_2,baseline,2,c_c_point,1,0,0
baseline_2,baseline,2,continuous_x,1,0,0
baseline_2,baseline,2,continuous_y,1,0,0
baseline_2,baseline,2,encoding,2,0,0
baseline_2,baseline,2,encoding_field,2,6,12
baseline_2,baseline,2,type_q,2,0,0
baseline_2,baseline,2,zero,1,1,1
baseline_2,baseline,2,zero_positional,1,1,1
baseline_3,baseline,3,c_c_point,1,0,0
baseline_3,baseline,3,continuous_x,1,0,0
baseline_3,baseline,3,continuous_y,1,0,0
baseline_3,baseline,3,encoding,2,0,0
baseline_3,baseline,3,encoding_field,2,6,12
baseline_3,baseline,3,type_q,2,0,0
baseline_3,baseline,3,zero,1,1,1
baseline_3,baseline,3,zero_positional,1,1,1
baseline_4,baseline,4,c_c_point,1,0,0
baseline_4,baseline,4,continuous_x,1,0,0
baseline_4,baseline,4,continuous_y,1,0,0
baseline_4,baseline,4,encoding,2,0,0
baseline_4,baseline,4,encoding_field,2,6,12
baseline_4,baseline,4,type_q,2,0,0
baseline_4,baseline,4,x_y_fields_order,1,1,1
baseline_4,baseline,4,zero,1,1,1
baseline_4,baseline,4,zero_positional,1,1,1
baseline_5,baseline,5,c_c_point,1,0,0
baseline_5,baseline,5,continuous_x,1,0,0
baseline_5,baseline,5,continuous_y,1,0,0
baseline_5,baseline,5,encoding,2,0,0
baseline_5,baseline,5,encoding_field,2,6,12
baseline_5,baseline,5,type_q,2,0,0
baseline_5,baseline,5,x_y_fields_order,1,1,1
baseline_5,baseline,5,zero,1,1,1
baseline_5,baseline,5,zero_positional,1,1,1
baseline_6,baseline,6,c_c_point,1,0,0
baseline_6,baseline,6,continuous_x,1,0,0
baseline_6,baseline,6,continuous_y,1,0,0
baseline_6,baseline,6,encoding,2,0,0
baseline_6,baseline,6,encoding_field,2,6,12
baseline_6,baseline,6,type_q,2,0,0
baseline_6,baseline,6,zero,2,1,2
baseline_6,baseline,6,zero_positional,1,1,1
baseline_7,baseline,7,c_c_point,1,0,0
baseline_7,baseline,7,continuous_x,1,0,0
baseline_7,baseline,7,continuous_y,1,0,0
baseline_7,baseline,7,encoding,2,0,0
baseline_7,baseline,7,encoding_field,2,6,12
baseline_7,baseline,7,log,1,1,1
baseline_7,baseline,7,type_q,2,0,0
baseline_7,baseline,7,zero,1,1,1
baseline_7,baseline,7,zero_positional,1,1,1
baseline_8,baseline,8,c_c_point,1,0,0
baseline_8,baseline,8,continuous_x,1,0,0
baseline_8,baseline,8,continuous_y,1,0,0
baseline_8,baseline,8,encoding,2,0,0
baseline_8,baseline,8,encoding_field,2,6,12
baseline_8,baseline,8,log,1,1,1
baseline_8,baseline,8,type_q,2,0,0
baseline_8,baseline,8,zero,1,1,1
baseline_8,baseline,8,zero_positional,1,1,1
baseline_9,baseline,9,bin,1,2,2
